surname,eg
CHEPKECH,kalenjin
SIWARENG,kalenjin
KIRUI,kalenjin
CHERUYOT,kalenjin
JILO,mijikenda
KOSGEI,kalenjin
RUTO,kalenjin
MARUGI,kikuyu
NJERI,kikuyu
MWANGI,kikuyu
MARSOI,kalenjin
ALI,mijikenda
RONO,kalenjin
WAMBUA,kamba
KAFANI,mijikenda
YABIYA,mijikenda
MUTIA,kamba
MARAHAMA,mijikenda
BANDA,mijikenda
OGORO,kisii
OMAR,mijikenda
TANUI,kalenjin
KATANA,mijikenda
KERUBO,kisii
KARISA,mijikenda
MUKABA,mbeere
MUTHAMI,kamba
MOKEIRA,kisii
NYABONYI,kisii
ATAMUS,kisii
ONYANGO,kisii
IDD,mijikenda
NJUE,mbeere
OSOGO,kisii
ATIENO,luo
OUMA,luo
ODHIAMBO,luo
MAKONGO,taita
SAFARI,mijikenda
WAKESHO,taita
BOIT,kalenjin
KEMBOI,luhya
MWAKANDAWA,taita
MWANDONYI,taita
MWACHAKA,taita
KERUBO,kisii
KERUBO,kisii
LODHIO,kalenjin
OKIRU,luo
CHEMANDA,kalenjin
ABETAH,kalenjin
WEKESA,kalenjin
JEROP,kalenjin
KANYUA,kikuyu
KIMETO,kalenjin
STEVE,kisii
LAGAT,kalenjin
OLWENY,luo
OLOO,luo
NGURIANYANG,kalenjin
APOPONG,kalenjin
LOTAI,kalenjin
WEKESA,luhya
ALALAM,kalenjin
ANGOSA,luhya
ANEKEA,luhya
ODECHE,luhya
CHITTE,luhya
OPETE,luhya
ATIENO,luo
APONDI,luhya
ADHIAMBO,luo
OMONDI,luhya
OMONDI,luo
NYAKARUO,kikuyu
MWENJA,kikuyu
GITHII,kikuyu
KAMAU,kikuyu
KARANJA,kikuyu
BASHORA,mijikenda
NAMPASU,masai
OMAR,mijikenda
BARIWOS,kalenjin
MUTHONI,mbeere
NGUGI,embu
MWINGI,mbeere
MOHAMED,mijikenda
NAMPASI,masai
MAKORI,kisii
KOSKEI,kalenjin
WANGARE,kikuyu
KAMENE,kamba
MUTHONI,mbeere
NJOROGE,kikuyu
BISERA,kisii
MBURU,kikuyu
DUNCAN,mijikenda
WAIRIMU,kikuyu
ODOYO,luo
NJUGUNA,kikuyu
MURIITHI,kikuyu
MWANGI,kikuyu
NJERI,kikuyu
MIANO,kikuyu
NYARIERA,luo
NDIRANGU,kikuyu
KOECH,kalenjin
ROTICH,kalenjin
OMONDI,luo
CHEPNGENO,kalenjin
ACHIENG,luo
NDUKU,kikuyu
MALONGO,luhya
OUMA,luo
ONDIEKI,kisii
NJIRU,mbeere
WANJIKU,kikuyu
ADHIBO,luo
KIRAGU,kikuyu
NDUNG'U,kikuyu
ADOYO,luo
NDWIGA,mbeere
WANZIA,kamba
AWOUR,luo
KOECH,kalenjin
MORAA,kisii
MADEDA,taita
AWOUR,luo
OGADA,luo
WANGARE,kikuyu
WEKESA,luhya
TUEI,kalenjin
KITANDO,taita
NGUMBI,taita
KASUKU,luhya
MGHOI,taita
MADEDA,taita
TANUI,kalenjin
?,luo
INGOLAN,turkana
LOWAMOR,turkana
MOHAMMED,somali
EYANAE,turkana
?,kalenjin
OUMA,luhya
WAFULA,luhya
OKOTH,luhya
AOKO,luo
OUMA,luo
ATIENO,luo
ACHIENG,luo
OTIENO,luo
AKINYI,luhya
SHIVENDE,luhya
AUMA,luhya
OMWANDE,luhya
ODUORY,luo
CLARE,luhya
OKWEMBA,luhya
NEKESA,luhya
OUMA,luhya
ECHWA,turkana
MURAYA,kikuyu
NAFULA,luhya
MUTAI,kalenjin
KAPEEN,masai
KIRWA,kalenjin
KIPROP,kalenjin
TABULA,kisii
KARIA,kikuyu
CHELANGAT,kalenjin
GAMBO,mijikenda
JUMA,mijikenda
BAYA,mijikenda
MBURA,mijikenda
KAZUNGU,mijikenda
YENGO,masai
BANDA,mijikenda
MURABU,mijikenda
MWAMBARU,mijikenda
SIGEI,kalenjin
CHESENGENY,kalenjin
PULI,luhya
LONYARANG,turkana
RANGE,kuria
LOBION,turkana
STANLEY,kalenjin
MOKERERI,kuria
MARWA,kuria
CHEBICHI,kalenjin
ROBI,kuria
BIWOTT,kalenjin
MUTEMA,kikuyu
WANJIRU,kikuyu
NGANGA,kikuyu
ONSOMU,kuria
WAFULA,luhya
NAMACHANJA,luhya
NASIMIYU,luhya
